,Model,model_len,Process Date,metrics,scores
319,unet,175 imagens,2023.03.28-22.40.02,Jaccard,0.8468468468468469
320,unet,175 imagens,2023.03.28-22.40.42,Jaccard,0.8571428571428571
321,unet,175 imagens,2023.03.28-22.41.32,Jaccard,0.8482142857142857
322,unet,175 imagens,2023.03.29-21.52.58,Jaccard,0.832
323,logisticRegression_proba,175 imagens,2023.03.29-21.54.34,Jaccard,0.2068965517241379
324,unet,175 imagens,2023.03.29-21.57.23,Jaccard,0.7469135802469136
325,unet,175 imagens,2023.03.29-22.03.33,Jaccard,0.9212962962962964
326,unet,175 imagens,2023.03.29-22.07.18,Jaccard,0.2074074074074074
327,unet,175 imagens,2023.03.30-12.27.27,Jaccard,0.8188976377952756
328,unet,175 imagens,2023.03.30-12.28.32,Jaccard,0.8269230769230769
329,unet,175 imagens,2023.03.30-12.29.32,Jaccard,0.5952380952380952
330,unet,175 imagens,2023.03.30-12.31.57,Jaccard,0.808695652173913
331,unet,175 imagens,2023.03.30-12.33.04,Jaccard,0.7686567164179104
332,unet,175 imagens,2023.03.30-12.33.45,Jaccard,0.8251748251748252
333,unet,175 imagens,2023.03.30-16.13.37,Jaccard,0.8502415458937198
334,unet,175 imagens,2023.03.30-17.34.33,Jaccard,0.8816568047337278
335,unet,175 imagens,2023.03.30-19.58.05,Jaccard,0.7134146341463414
336,unet,175 imagens,2023.03.30-19.58.41,Jaccard,0.6145833333333334
337,unet,175 imagens,2023.03.30-20.03.56,Jaccard,0.7454545454545455
338,unet,175 imagens,2023.03.30-20.04.42,Jaccard,0.8818897637795275
339,unet,175 imagens,2023.06.02-19.19.46,Jaccard,0.7901234567901234
340,unet,175 imagens,2023.06.02-19.22.04,Jaccard,0.8457142857142858
341,unet,175 imagens,2023.06.02-19.22.49,Jaccard,0.7518248175182481
342,unet,175 imagens,2023.06.02-19.23.39,Jaccard,0.6588235294117647
343,unet,175 imagens,2023.06.02-19.28.13,Jaccard,0.9043478260869564
344,unet,175 imagens,2023.06.02-19.29.01,Jaccard,0.5754716981132075
345,unet,175 imagens,2023.06.02-19.38.05,Jaccard,0.7890625
346,unet,175 imagens,2023.06.02-20.22.44,Jaccard,0.8721804511278195
347,unet,175 imagens,2023.06.02-20.23.50,Jaccard,0.859375
348,unet,175 imagens,2023.06.02-20.26.43,Jaccard,0.7768595041322314
349,unet,175 imagens,2023.06.02-20.30.15,Jaccard,0.4796747967479675
350,unet,175 imagens,2023.06.02-20.31.45,Jaccard,0.8527131782945736
351,unet,175 imagens,2023.06.02-20.32.27,Jaccard,0.7414965986394558
352,unet,150 imagens,2023.03.26-07.00.18,Jaccard,0.4872611464968153
353,unet,150 imagens,2023.03.26-07.02.39,Jaccard,0.875
